Entrada A : 8
Entrada B : 6
Entrada C : 4
Entrada D : 2
Entrada E : 3
Entrada F : 0
Entrada G : 2
Entrada H : 3
Entrada I : 5
Entrada J : 7
Entrada K : 9
Entrada L : 5
Entrada M : 0
Entrada N : 0
Entrada O : 5
Entrada P : 4
Entrada Q : 3
Entrada R : 0
Entrada S : 5
Entrada T : 2
Entrada U : 7
Entrada V : 7
Entrada W : 9
Entrada X : 5
Entrada Y : 2
A -> 0.002937 -> G
A -> 0.003425 -> U
A -> 0.006319 -> Y
B -> 0.005627 -> D
B -> 0.002396 -> Q
B -> 0.002029 -> V
C -> 0.007937 -> A
C -> 0.005089 -> M
C -> 0.006976 -> Q
D -> 0.007313 -> D
D -> 0.003293 -> Q
E -> 0.002901 -> U
F -> 0.004512 -> E
F -> 0.005809 -> K
F -> 0.001184 -> O
F -> 0.004392 -> T
F -> 0.005279 -> V
G -> 0.00658 -> A
G -> 0.001713 -> C
G -> 0.002096 -> P
H -> 0.003447 -> B
H -> 0.0001455 -> I
H -> 0.00681 -> J
H -> 0.002692 -> N
I -> 0.007194 -> B
J -> 0.001628 -> B
K -> 0.005275 -> Q
K -> 0.00722 -> Y
L -> 0.0006582 -> C
L -> 0.006185 -> H
L -> 0.0004064 -> S
L -> 0.006174 -> U
M -> 0.003577 -> F
M -> 0.005411 -> H
N -> 0.004933 -> G
O -> 0.004229 -> L
O -> 0.006773 -> N
P -> 0.006201 -> O
P -> 0.0001017 -> X
Q -> 0.006015 -> V
Q -> 0.005326 -> X
R -> 0.002984 -> M
R -> 0.003507 -> S
S -> 0.005551 -> B
S -> 0.005997 -> D
S -> 0.001854 -> F
S -> 0.005346 -> N
S -> 0.0001515 -> P
S -> 0.001192 -> T
T -> 0.002276 -> V
U -> 0.003721 -> B
U -> 0.007203 -> T
V -> 0.005115 -> Y
W -> 0.0008331 -> E
W -> 0.0006981 -> H
W -> 0.004843 -> P
X -> 0.003236 -> J
X -> 0.005443 -> M
X -> 0.007709 -> Q
Y -> 0.003163 -> C
Y -> 0.003226 -> L
A -> 0.006147 -> X
B -> 0.006726 -> C
B -> 0.004118 -> E
B -> 0.006694 -> G
B -> 0.005928 -> P
C -> 0.001734 -> F
C -> 0.0009485 -> G
C -> 0.0009522 -> I
D -> 0.003288 -> E
D -> 0.006949 -> Y
E -> 0.00169 -> M
E -> 0.008341 -> S
F -> 0.001286 -> A
F -> 0.005349 -> C
F -> 0.005124 -> L
F -> 0.007079 -> W
G -> 0.003359 -> I
G -> 0.005593 -> W
G -> 0.006596 -> X
H -> 0.0001071 -> A
H -> 0.007026 -> P
I -> 0.007499 -> E
I -> 0.006102 -> Q
I -> 0.001854 -> S
J -> 0.0009319 -> M
J -> 0.001757 -> U
K -> 0.00529 -> G
K -> 0.006242 -> R
M -> 0.002637 -> E
M -> 0.001686 -> T
O -> 0.004714 -> A
O -> 0.003483 -> P
Q -> 0.006074 -> A
Q -> 0.006819 -> S
Q -> 0.004739 -> W
R -> 0.006622 -> G
R -> 0.003562 -> P
R -> 0.0009825 -> X
S -> 0.001382 -> L
S -> 0.001827 -> M
S -> 0.002007 -> Q
T -> 0.005726 -> N
T -> 0.001781 -> P
U -> 0.001469 -> E
U -> 0.006767 -> F
U -> 0.001111 -> I
U -> 0.004169 -> N
U -> 0.001008 -> S
V -> 0.002206 -> P
V -> 0.002065 -> X
W -> 0.0009625 -> K
W -> 0.007451 -> M
W -> 0.0008079 -> N
X -> 0.006179 -> C
X -> 0.006273 -> L
Y -> 0.001896 -> H
C -> 0.005862 -> H
C -> 0.0005899 -> N
D -> 0.007535 -> F
D -> 0.005134 -> X
E -> 0.005453 -> N
F -> 0.001029 -> F
F -> 0.004966 -> G
F -> 0.002153 -> U
G -> 0.003146 -> K
G -> 0.006883 -> R
G -> 0.007422 -> T
H -> 0.004244 -> M
H -> 0.002275 -> O
H -> 0.004132 -> Y
I -> 0.0012 -> G
I -> 0.001074 -> H
I -> 0.006713 -> J
I -> 0.005603 -> K
I -> 0.003441 -> M
I -> 0.004783 -> R
J -> 0.00283 -> A
J -> 0.006871 -> Y
K -> 0.005121 -> A
K -> 0.007834 -> I
L -> 0.0003254 -> T
M -> 0.006856 -> K
N -> 0.00535 -> B
N -> 0.002095 -> C
N -> 0.004018 -> E
N -> 0.006129 -> S
O -> 0.006809 -> B
O -> 0.001419 -> F
O -> 0.002198 -> I
O -> 0.002556 -> J
O -> 0.007121 -> M
O -> 0.001495 -> X
P -> 0.0007547 -> F
P -> 0.003544 -> S
P -> 0.005712 -> Y
Q -> 0.003963 -> E
Q -> 0.005946 -> I
Q -> 0.007141 -> J
Q -> 0.001476 -> Q
R -> 0.005166 -> D
S -> 0.007669 -> V
U -> 0.007648 -> G
U -> 0.002647 -> H
U -> 0.006272 -> U
V -> 0.001196 -> C
V -> 0.005073 -> T
W -> 0.001982 -> D
W -> 0.005635 -> L
W -> 0.005552 -> V
W -> 0.006805 -> Y
X -> 0.001099 -> N
X -> 0.0058 -> O
A -> 0.003929 -> C
A -> 0.006714 -> E
A -> 0.005429 -> I
A -> 0.003782 -> L
A -> 0.001165 -> N
C -> 0.00309 -> J
C -> 0.005313 -> P
D -> 0.004541 -> S
D -> 0.003587 -> T
D -> 0.001482 -> W
E -> 0.005707 -> I
G -> 0.003826 -> G
G -> 0.0012 -> L
G -> 0.00535 -> O
H -> 0.0003064 -> F
J -> 0.0091 -> D
J -> 0.0002487 -> K
J -> 0.004869 -> N
K -> 0.0002138 -> U
L -> 0.006865 -> D
L -> 0.007325 -> X
M -> 0.006729 -> W
M -> 0.007667 -> X
N -> 0.003353 -> F
N -> 0.00442 -> O
N -> 0.001753 -> Q
O -> 0.00196 -> D
O -> 0.001946 -> E
O -> 0.007097 -> T
P -> 0.0044 -> C
P -> 0.006287 -> R
P -> 0.001408 -> U
P -> 0.006482 -> W
Q -> 0.006134 -> F
S -> 0.003318 -> S
S -> 0.005457 -> W
T -> 0.005006 -> E
T -> 0.001398 -> U
T -> 0.0009655 -> X
U -> 0.000406 -> Q
V -> 0.0052 -> I
V -> 0.004963 -> U
X -> 0.0004371 -> H
X -> 0.004023 -> X
Y -> 0.001845 -> G
A -> 0.001132 -> O
A -> 0.00127 -> S
B -> 0.003508 -> H
B -> 0.006403 -> R
C -> 0.006183 -> T
D -> 0.003489 -> U
E -> 0.003812 -> K
E -> 0.00495 -> R
F -> 0.006226 -> R
G -> 0.00681 -> J
